file_name,aliquot_id,case_id,submitter_id
47f923de-addc-4014-9b5c-cd4184933ec3.rna_seq.augmented_star_gene_counts.tsv,507e9f4a-c9b8-42f9-923c-d6061645e845,e4c85bdd-7b7c-414f-9503-647d9b825915,TCGA-FE-A234
8b558df0-aa7b-4c47-9cb5-4695518bb873.rna_seq.augmented_star_gene_counts.tsv,524de4bb-5432-4a0b-bee2-4c5bf58ba449,f9217c58-11ef-4c4b-99cf-0e134a718552,TCGA-ET-A3DQ
895bdbb0-c3f5-40a3-8b8c-81c7a0d86a86.rna_seq.augmented_star_gene_counts.tsv,b3fcde50-d71f-4288-bb9a-1f65088fc4d5,faa51172-60ec-48d8-9224-36bfda1d27e0,TCGA-EL-A3H7
8a0863a9-b258-4de3-a238-ac3dd034f95c.rna_seq.augmented_star_gene_counts.tsv,5bb6bf4f-84af-4b86-9292-e56153b2a401,fb14bd0d-b356-42a4-a0e9-2fcdada8f76b,TCGA-J8-A3O1
eee32c91-17f1-4f4b-b4f9-10c51f937189.rna_seq.augmented_star_gene_counts.tsv,79e2e047-5d06-4e11-99f3-b22441bb70d1,fb39f29a-5d1e-4f96-8adb-e18cc87fad2e,TCGA-DJ-A2PN
d61a2ea8-5b4e-44b8-bd7a-9ff5d0fa1288.rna_seq.augmented_star_gene_counts.tsv,82644c32-bf20-4ba5-ad71-aa54c62a4bd8,fc70a652-7925-4759-8e1f-05fd56829df4,TCGA-FE-A239
fee3f648-045b-498e-b0d0-41abda8ed0e7.rna_seq.augmented_star_gene_counts.tsv,4e77399b-349d-47c9-b058-f1f1fc118a34,f9db9757-04d8-40bd-a58d-605f4255b0e6,TCGA-KS-A4I3
6677303d-dceb-421e-b01b-45ab7ee1dd48.rna_seq.augmented_star_gene_counts.tsv,8eb57b3e-64eb-408d-ad2d-1ff2c0e69506,e70feafd-1390-4f4c-a635-da65c1a7daeb,TCGA-FE-A233
6b6a85c8-f049-4dc9-9612-b54d04bd3ca8.rna_seq.augmented_star_gene_counts.tsv,619741f2-4f5e-41ab-9033-bfc0dd525750,edb90376-0ef9-47dd-be6f-a6e8a0380a9c,TCGA-DJ-A2PQ
ebb57504-53cc-4097-b33e-e33058189a67.rna_seq.augmented_star_gene_counts.tsv,b08d8be0-f28a-474a-991f-e7764e16b311,e94dfd42-4fe4-48e9-aa62-422ae071413f,TCGA-KS-A4I5
1c4e7140-e649-4267-92ac-f30d65d795e5.rna_seq.augmented_star_gene_counts.tsv,d1883aba-565e-487f-a240-4dac9d5bc50e,ef306507-f426-499e-8a1f-3401a522fb6b,TCGA-EM-A22I
f05156ff-9bdd-40a8-81fa-9a39eab673e4.rna_seq.augmented_star_gene_counts.tsv,96e0e370-4db3-4db4-8123-7026ecc1e320,e95c7f24-89ab-4d56-aae6-d2268888c549,TCGA-EL-A3GV
238b4784-765e-4efe-9a83-aab514d73979.rna_seq.augmented_star_gene_counts.tsv,c8125aaf-e8de-4c26-ab88-2f22d8933d21,ea2c873a-ea52-4920-8d20-554d5fa8ddc1,TCGA-EL-A3MX
